date_of_interest,CASE_COUNT,BX_CASE_COUNT,BK_CASE_COUNT,MN_CASE_COUNT,QN_CASE_COUNT,SI_CASE_COUNT,MM,YY,YY_MM
2/2/2021,2660,434,873,442,769,142,2,2021,2021/2
2/3/2021,5145,1093,1505,823,1403,321,2,2021,2021/2
2/4/2021,4853,1069,1389,704,1406,285,2,2021,2021/2
2/5/2021,4158,953,1244,538,1181,242,2,2021,2021/2
2/6/2021,3080,719,900,389,892,180,2,2021,2021/2
2/7/2021,1646,324,567,203,453,99,2,2021,2021/2
2/8/2021,4431,971,1345,610,1238,267,2,2021,2021/2
2/9/2021,3732,874,1090,518,1005,245,2,2021,2021/2
2/10/2021,3777,868,1060,569,1007,273,2,2021,2021/2
2/11/2021,3411,724,931,549,978,228,2,2021,2021/2
2/12/2021,3314,726,934,494,928,231,2,2021,2021/2
2/13/2021,2205,420,671,276,703,135,2,2021,2021/2
2/14/2021,1896,371,586,245,580,114,2,2021,2021/2
2/15/2021,2860,527,860,366,872,234,2,2021,2021/2
2/16/2021,3724,789,1110,611,1024,190,2,2021,2021/2
2/17/2021,3438,772,1006,542,922,196,2,2021,2021/2
2/18/2021,2048,383,591,411,553,110,2,2021,2021/2
2/19/2021,3019,618,855,462,856,228,2,2021,2021/2
2/20/2021,2494,510,681,346,785,172,2,2021,2021/2
2/21/2021,2285,359,792,317,666,151,2,2021,2021/2
2/22/2021,3613,750,1112,540,983,228,2,2021,2021/2
2/23/2021,3473,731,1074,532,934,201,2,2021,2021/2
2/24/2021,3464,713,1023,568,943,217,2,2021,2021/2
2/25/2021,3482,715,1026,514,965,262,2,2021,2021/2
2/26/2021,3240,675,942,518,889,216,2,2021,2021/2
2/27/2021,2017,377,625,248,629,138,2,2021,2021/2
2/28/2021,2038,329,733,253,574,149,2,2021,2021/2
3/1/2021,3726,730,1174,531,1031,260,3,2021,2021/3
3/2/2021,3110,562,936,495,862,255,3,2021,2021/3
3/3/2021,3242,638,954,523,861,266,3,2021,2021/3
3/4/2021,3121,575,935,495,862,253,3,2021,2021/3
3/5/2021,2888,553,887,404,808,236,3,2021,2021/3
3/6/2021,2043,330,594,259,688,172,3,2021,2021/3
3/7/2021,1875,291,595,238,604,147,3,2021,2021/3
3/8/2021,3402,625,1109,490,919,259,3,2021,2021/3
3/9/2021,3342,581,1086,527,915,233,3,2021,2021/3
3/10/2021,3201,561,957,517,907,259,3,2021,2021/3
3/11/2021,3106,544,964,464,921,213,3,2021,2021/3
3/12/2021,3203,572,937,486,964,244,3,2021,2021/3
3/13/2021,2176,331,627,285,756,177,3,2021,2021/3
3/14/2021,1924,249,642,224,660,149,3,2021,2021/3
3/15/2021,3392,561,1063,450,1092,226,3,2021,2021/3
3/16/2021,3196,569,988,492,934,213,3,2021,2021/3
3/17/2021,3173,515,940,507,944,267,3,2021,2021/3
3/18/2021,2918,499,854,446,887,232,3,2021,2021/3
3/19/2021,3049,546,905,434,897,267,3,2021,2021/3
3/20/2021,2159,334,661,268,735,160,3,2021,2021/3
3/21/2021,2089,294,707,233,681,174,3,2021,2021/3
3/22/2021,3881,654,1215,578,1116,317,3,2021,2021/3
3/23/2021,3249,566,1025,467,939,252,3,2021,2021/3
3/24/2021,3454,580,1046,526,1014,288,3,2021,2021/3
3/25/2021,3798,637,1149,587,1130,295,3,2021,2021/3
3/26/2021,3416,567,1000,495,1045,309,3,2021,2021/3
3/27/2021,2223,363,633,270,742,215,3,2021,2021/3
3/28/2021,1752,254,575,224,547,152,3,2021,2021/3
3/29/2021,3557,626,1043,485,1092,311,3,2021,2021/3
3/30/2021,3188,593,941,472,936,246,3,2021,2021/3
3/31/2021,3186,508,960,517,940,261,3,2021,2021/3
4/1/2021,2865,501,861,446,830,227,4,2021,2021/4
4/2/2021,2618,360,846,380,811,221,4,2021,2021/4
4/3/2021,2051,313,639,233,665,201,4,2021,2021/4
4/4/2021,1467,192,497,180,456,142,4,2021,2021/4
4/5/2021,3270,505,1039,467,975,284,4,2021,2021/4
4/6/2021,3001,500,932,462,862,245,4,2021,2021/4
4/7/2021,2762,467,868,412,788,227,4,2021,2021/4
4/8/2021,2574,417,812,322,787,236,4,2021,2021/4
4/9/2021,2468,356,803,322,734,253,4,2021,2021/4
4/10/2021,1723,231,564,196,582,150,4,2021,2021/4
4/11/2021,1315,179,462,148,397,129,4,2021,2021/4
4/12/2021,2533,404,852,331,741,205,4,2021,2021/4
4/13/2021,2363,385,774,344,693,167,4,2021,2021/4
4/14/2021,2241,348,721,320,638,214,4,2021,2021/4
4/15/2021,2016,354,641,281,561,179,4,2021,2021/4
4/16/2021,1834,260,595,227,568,184,4,2021,2021/4
4/17/2021,1275,209,411,129,411,115,4,2021,2021/4
4/18/2021,1056,165,361,128,296,106,4,2021,2021/4
4/19/2021,1882,287,639,231,543,182,4,2021,2021/4
4/20/2021,1604,286,516,222,433,146,4,2021,2021/4
4/21/2021,1416,208,508,181,388,131,4,2021,2021/4
4/22/2021,1360,227,488,143,375,127,4,2021,2021/4
4/23/2021,1288,217,438,131,368,134,4,2021,2021/4
4/24/2021,852,123,308,87,255,79,4,2021,2021/4
4/25/2021,757,97,270,75,246,69,4,2021,2021/4
4/26/2021,1371,226,498,167,358,121,4,2021,2021/4
4/27/2021,1138,204,391,144,302,97,4,2021,2021/4
4/28/2021,1215,192,419,132,361,111,4,2021,2021/4
4/29/2021,1056,154,392,151,268,91,4,2021,2021/4
4/30/2021,963,173,328,106,276,80,4,2021,2021/4
5/1/2021,578,86,190,63,181,58,5,2021,2021/5
5/2/2021,569,73,221,50,165,60,5,2021,2021/5
5/3/2021,937,151,318,127,267,73,5,2021,2021/5
5/4/2021,876,156,297,103,239,81,5,2021,2021/5
5/5/2021,781,142,244,110,224,61,5,2021,2021/5
5/6/2021,786,133,268,100,231,54,5,2021,2021/5
5/7/2021,715,137,225,80,193,80,5,2021,2021/5
5/8/2021,385,61,122,41,123,38,5,2021,2021/5
5/9/2021,343,53,106,48,110,26,5,2021,2021/5
5/10/2021,654,130,207,89,178,50,5,2021,2021/5
5/11/2021,628,90,216,70,188,64,5,2021,2021/5
5/12/2021,594,109,196,68,155,66,5,2021,2021/5
5/13/2021,516,93,147,75,151,49,5,2021,2021/5
5/14/2021,486,77,145,58,160,46,5,2021,2021/5
5/15/2021,292,46,94,33,99,20,5,2021,2021/5
5/16/2021,280,48,99,31,84,18,5,2021,2021/5
5/17/2021,453,79,151,72,114,37,5,2021,2021/5
5/18/2021,415,71,138,60,102,44,5,2021,2021/5
5/19/2021,377,74,129,41,106,27,5,2021,2021/5
5/20/2021,395,67,133,51,111,33,5,2021,2021/5
5/21/2021,349,54,115,48,105,27,5,2021,2021/5
5/22/2021,233,35,81,28,68,21,5,2021,2021/5
5/23/2021,187,29,63,17,55,23,5,2021,2021/5
5/24/2021,355,57,105,51,95,47,5,2021,2021/5
5/25/2021,305,48,101,37,82,37,5,2021,2021/5
5/26/2021,249,44,81,40,74,10,5,2021,2021/5
5/27/2021,257,56,62,39,67,33,5,2021,2021/5
5/28/2021,210,36,67,23,66,18,5,2021,2021/5
5/29/2021,126,22,32,23,40,9,5,2021,2021/5
5/30/2021,119,25,34,16,30,14,5,2021,2021/5
5/31/2021,118,15,35,20,38,10,5,2021,2021/5
6/1/2021,288,71,59,52,76,30,6,2021,2021/6
6/2/2021,244,52,70,33,68,21,6,2021,2021/6
6/3/2021,206,45,62,24,61,14,6,2021,2021/6
6/4/2021,224,57,65,34,43,25,6,2021,2021/6
6/5/2021,142,41,44,16,29,12,6,2021,2021/6
6/6/2021,130,24,35,23,33,15,6,2021,2021/6
6/7/2021,219,57,64,32,47,19,6,2021,2021/6
6/8/2021,176,38,55,27,39,17,6,2021,2021/6
6/9/2021,211,56,58,40,40,17,6,2021,2021/6
6/10/2021,156,33,46,30,35,12,6,2021,2021/6
6/11/2021,188,40,43,38,52,15,6,2021,2021/6
6/12/2021,121,25,28,14,39,15,6,2021,2021/6
6/13/2021,116,18,36,19,31,12,6,2021,2021/6
6/14/2021,181,38,53,29,49,12,6,2021,2021/6
6/15/2021,180,30,38,36,57,19,6,2021,2021/6
6/16/2021,174,29,47,31,41,26,6,2021,2021/6
6/17/2021,188,36,52,26,51,23,6,2021,2021/6
6/18/2021,160,19,59,15,47,20,6,2021,2021/6
6/19/2021,107,18,29,22,24,14,6,2021,2021/6
6/20/2021,97,15,33,14,26,9,6,2021,2021/6
6/21/2021,169,27,41,25,50,26,6,2021,2021/6
6/22/2021,171,22,50,33,49,17,6,2021,2021/6
6/23/2021,188,28,48,39,48,24,6,2021,2021/6
6/24/2021,175,18,51,30,47,29,6,2021,2021/6
6/25/2021,180,12,61,28,55,24,6,2021,2021/6
6/26/2021,118,11,37,15,31,24,6,2021,2021/6
6/27/2021,110,17,29,19,23,22,6,2021,2021/6
6/28/2021,206,29,49,45,53,30,6,2021,2021/6
6/29/2021,213,32,52,43,51,35,6,2021,2021/6
6/30/2021,225,30,74,43,51,27,6,2021,2021/6
7/1/2021,205,27,63,29,53,33,7,2021,2021/7
7/2/2021,232,32,60,61,58,21,7,2021,2021/7
7/3/2021,146,18,41,29,33,25,7,2021,2021/7
7/4/2021,124,14,32,25,34,19,7,2021,2021/7
7/5/2021,187,20,62,32,53,20,7,2021,2021/7
7/6/2021,361,47,125,77,80,32,7,2021,2021/7
7/7/2021,400,49,146,73,88,44,7,2021,2021/7
7/8/2021,367,50,110,80,81,46,7,2021,2021/7
7/9/2021,370,56,110,84,88,32,7,2021,2021/7
7/10/2021,238,37,63,49,59,30,7,2021,2021/7
7/11/2021,267,32,79,53,78,25,7,2021,2021/7
7/12/2021,475,69,176,86,109,35,7,2021,2021/7
7/13/2021,459,43,152,103,97,64,7,2021,2021/7
7/14/2021,547,59,184,144,114,46,7,2021,2021/7
7/15/2021,553,70,172,128,129,54,7,2021,2021/7
7/16/2021,556,73,184,121,117,61,7,2021,2021/7
7/17/2021,340,59,109,60,77,35,7,2021,2021/7
7/18/2021,393,36,141,83,104,29,7,2021,2021/7
7/19/2021,811,110,276,176,171,78,7,2021,2021/7
7/20/2021,706,94,230,162,146,74,7,2021,2021/7
7/21/2021,893,128,306,198,198,63,7,2021,2021/7
7/22/2021,972,136,326,227,195,88,7,2021,2021/7
7/23/2021,917,127,319,200,215,55,7,2021,2021/7
7/24/2021,552,58,188,111,141,54,7,2021,2021/7
7/25/2021,635,68,212,119,169,67,7,2021,2021/7
7/26/2021,1225,155,422,261,273,114,7,2021,2021/7
7/27/2021,1199,141,406,254,295,103,7,2021,2021/7
7/28/2021,1242,188,384,276,286,108,7,2021,2021/7
7/29/2021,1289,174,444,234,318,119,7,2021,2021/7
7/30/2021,1280,160,428,251,318,123,7,2021,2021/7
7/31/2021,850,126,263,152,214,95,7,2021,2021/7
8/1/2021,830,92,294,151,220,73,8,2021,2021/8
8/2/2021,1567,237,517,303,388,122,8,2021,2021/8
8/3/2021,1582,231,489,345,365,152,8,2021,2021/8
8/4/2021,1607,214,519,329,380,165,8,2021,2021/8
8/5/2021,1527,208,518,322,365,114,8,2021,2021/8
8/6/2021,1576,211,520,285,419,141,8,2021,2021/8
8/7/2021,1150,179,373,179,294,125,8,2021,2021/8
8/8/2021,1071,155,321,162,301,131,8,2021,2021/8
8/9/2021,1890,289,625,308,495,172,8,2021,2021/8
8/10/2021,1665,265,535,306,407,152,8,2021,2021/8
8/11/2021,1753,262,546,354,439,151,8,2021,2021/8
8/12/2021,1758,232,578,324,451,172,8,2021,2021/8
8/13/2021,1600,266,499,294,394,145,8,2021,2021/8
8/14/2021,1048,145,348,206,253,96,8,2021,2021/8
8/15/2021,1143,140,420,198,304,81,8,2021,2021/8
8/16/2021,1928,328,626,352,479,143,8,2021,2021/8
8/17/2021,1744,296,595,301,418,133,8,2021,2021/8
8/18/2021,1813,273,555,362,460,162,8,2021,2021/8
8/19/2021,1690,264,543,325,419,136,8,2021,2021/8
8/20/2021,1562,285,505,296,349,125,8,2021,2021/8
8/21/2021,1091,180,338,183,272,118,8,2021,2021/8
8/22/2021,719,104,276,99,156,84,8,2021,2021/8
8/23/2021,1951,289,642,367,492,161,8,2021,2021/8
8/24/2021,1833,299,612,349,405,168,8,2021,2021/8
8/25/2021,1784,286,570,372,385,170,8,2021,2021/8
8/26/2021,1643,252,526,325,389,150,8,2021,2021/8
8/27/2021,1449,242,461,266,347,133,8,2021,2021/8
8/28/2021,985,172,297,152,252,112,8,2021,2021/8
8/29/2021,989,138,342,161,257,91,8,2021,2021/8
8/30/2021,1836,304,583,374,392,182,8,2021,2021/8
8/31/2021,1622,259,530,305,326,202,8,2021,2021/8
9/1/2021,1558,224,487,347,360,140,9,2021,2021/9
9/2/2021,1431,211,478,264,304,174,9,2021,2021/9
9/3/2021,1421,216,429,248,330,197,9,2021,2021/9
9/4/2021,905,126,255,154,260,110,9,2021,2021/9
9/5/2021,951,137,333,157,214,110,9,2021,2021/9
9/6/2021,947,164,275,181,229,98,9,2021,2021/9
9/7/2021,1568,285,433,307,370,171,9,2021,2021/9
9/8/2021,1589,234,464,370,389,132,9,2021,2021/9
9/9/2021,1713,241,630,313,400,129,9,2021,2021/9
9/10/2021,1545,232,503,302,377,131,9,2021,2021/9
9/11/2021,1036,139,335,169,288,104,9,2021,2021/9
9/12/2021,1213,127,504,222,258,102,9,2021,2021/9
9/13/2021,1737,223,633,370,389,122,9,2021,2021/9
9/14/2021,1639,201,608,310,372,147,9,2021,2021/9
9/15/2021,1610,232,550,320,353,152,9,2021,2021/9
9/16/2021,1384,191,451,284,321,135,9,2021,2021/9
9/17/2021,1525,174,560,322,365,104,9,2021,2021/9
9/18/2021,956,107,357,138,264,89,9,2021,2021/9
9/19/2021,1057,140,464,161,213,79,9,2021,2021/9
9/20/2021,1638,244,545,295,403,150,9,2021,2021/9
9/21/2021,1302,202,397,283,324,95,9,2021,2021/9
9/22/2021,1416,205,509,280,307,112,9,2021,2021/9
9/23/2021,1288,139,513,222,324,89,9,2021,2021/9
9/24/2021,1223,156,453,238,294,80,9,2021,2021/9
9/25/2021,815,100,310,131,191,82,9,2021,2021/9
9/26/2021,857,98,333,139,201,86,9,2021,2021/9
9/27/2021,1391,185,518,254,323,110,9,2021,2021/9
9/28/2021,1118,158,355,211,296,97,9,2021,2021/9
9/29/2021,1095,150,368,211,269,96,9,2021,2021/9
9/30/2021,1139,151,455,200,240,92,9,2021,2021/9
10/1/2021,1083,132,407,213,255,76,10,2021,2021/10
10/2/2021,680,74,280,122,156,48,10,2021,2021/10
10/3/2021,905,66,458,94,217,69,10,2021,2021/10
10/4/2021,1269,158,511,219,293,88,10,2021,2021/10
10/5/2021,1269,168,505,224,267,105,10,2021,2021/10
10/6/2021,1145,138,486,217,230,74,10,2021,2021/10
10/7/2021,1077,121,406,181,271,98,10,2021,2021/10
10/8/2021,1011,126,451,167,190,77,10,2021,2021/10
10/9/2021,612,67,250,95,145,55,10,2021,2021/10
10/10/2021,688,62,308,94,151,72,10,2021,2021/10
10/11/2021,933,107,363,173,223,67,10,2021,2021/10
10/12/2021,1141,127,462,201,239,112,10,2021,2021/10
10/13/2021,1108,120,409,228,237,114,10,2021,2021/10
10/14/2021,1023,108,426,174,204,111,10,2021,2021/10
10/15/2021,883,111,322,162,207,81,10,2021,2021/10
10/16/2021,487,55,193,55,137,47,10,2021,2021/10
10/17/2021,588,49,260,81,132,66,10,2021,2021/10
10/18/2021,868,108,363,141,176,80,10,2021,2021/10
10/19/2021,796,93,313,135,172,83,10,2021,2021/10
10/20/2021,801,99,295,156,176,75,10,2021,2021/10
10/21/2021,809,85,341,131,165,87,10,2021,2021/10
10/22/2021,693,86,261,131,138,76,10,2021,2021/10
10/23/2021,450,55,162,93,79,61,10,2021,2021/10
10/24/2021,443,37,198,66,84,57,10,2021,2021/10
10/25/2021,894,94,363,168,186,82,10,2021,2021/10
10/26/2021,597,64,238,101,125,69,10,2021,2021/10
10/27/2021,758,100,288,146,153,71,10,2021,2021/10
10/28/2021,737,82,311,122,145,77,10,2021,2021/10
10/29/2021,641,87,230,123,145,56,10,2021,2021/10
10/30/2021,399,40,158,61,101,39,10,2021,2021/10
10/31/2021,446,47,199,59,109,32,10,2021,2021/10
11/1/2021,780,74,313,141,195,57,11,2021,2021/11
11/2/2021,805,78,302,173,191,60,11,2021,2021/11
11/3/2021,825,75,300,181,202,66,11,2021,2021/11
11/4/2021,907,108,350,209,186,53,11,2021,2021/11
11/5/2021,769,91,290,148,186,54,11,2021,2021/11
11/6/2021,505,57,198,74,133,42,11,2021,2021/11
11/7/2021,544,46,205,104,137,52,11,2021,2021/11
11/8/2021,1134,140,400,230,270,93,11,2021,2021/11
11/9/2021,1036,100,358,244,244,90,11,2021,2021/11
11/10/2021,1045,122,363,237,255,67,11,2021,2021/11
11/11/2021,875,90,345,168,225,46,11,2021,2021/11
11/12/2021,1027,109,373,200,256,89,11,2021,2021/11
11/13/2021,615,65,241,105,154,50,11,2021,2021/11
11/14/2021,688,47,257,142,170,71,11,2021,2021/11
11/15/2021,1263,135,428,254,320,126,11,2021,2021/11
11/16/2021,1270,151,430,285,301,101,11,2021,2021/11
11/17/2021,1326,163,432,282,350,99,11,2021,2021/11
11/18/2021,1299,172,428,296,308,95,11,2021,2021/11
11/19/2021,1185,114,354,268,330,119,11,2021,2021/11
11/20/2021,826,71,279,143,253,80,11,2021,2021/11
11/21/2021,840,75,292,149,233,91,11,2021,2021/11
11/22/2021,1529,152,519,297,413,148,11,2021,2021/11
11/23/2021,1376,143,481,285,355,111,11,2021,2021/11
11/24/2021,1417,160,460,255,387,155,11,2021,2021/11
11/25/2021,532,35,189,104,148,56,11,2021,2021/11
11/26/2021,1172,142,364,198,353,114,11,2021,2021/11
11/27/2021,970,100,301,157,306,105,11,2021,2021/11
11/28/2021,1065,89,321,192,334,128,11,2021,2021/11
11/29/2021,2339,286,664,461,687,238,11,2021,2021/11
11/30/2021,2002,277,576,394,574,179,11,2021,2021/11
12/1/2021,2188,280,703,400,585,220,12,2021,2021/12
12/2/2021,2101,305,629,397,556,213,12,2021,2021/12
12/3/2021,1901,242,582,318,557,201,12,2021,2021/12
12/4/2021,1324,174,383,186,412,169,12,2021,2021/12
12/5/2021,1405,122,464,238,418,162,12,2021,2021/12
12/6/2021,2793,363,847,580,749,252,12,2021,2021/12
12/7/2021,2919,333,898,674,742,268,12,2021,2021/12
12/8/2021,3135,339,980,806,740,263,12,2021,2021/12
12/9/2021,3023,354,914,736,745,268,12,2021,2021/12
12/10/2021,3088,346,983,729,776,253,12,2021,2021/12
12/11/2021,2159,267,620,483,592,192,12,2021,2021/12
12/12/2021,2793,257,868,790,662,212,12,2021,2021/12
12/13/2021,7513,744,2388,2360,1575,441,12,2021,2021/12
12/14/2021,10857,923,3416,4075,1941,498,12,2021,2021/12
12/15/2021,13166,1092,4124,4934,2405,607,12,2021,2021/12
12/16/2021,13828,1324,4507,4773,2612,609,12,2021,2021/12
12/17/2021,13520,1513,4269,4263,2760,711,12,2021,2021/12
12/18/2021,9928,1060,3239,2683,2327,613,12,2021,2021/12
12/19/2021,10538,1068,3428,2708,2629,695,12,2021,2021/12
12/20/2021,27900,3645,8910,7891,5985,1452,12,2021,2021/12
12/21/2021,30330,4587,9410,7054,7446,1820,12,2021,2021/12
12/22/2021,31293,5500,9407,6279,8137,1964,12,2021,2021/12
12/23/2021,31743,5361,9584,6301,8535,1952,12,2021,2021/12
12/24/2021,17418,2927,5580,3050,4854,1002,12,2021,2021/12
12/25/2021,7778,1412,2342,1399,2162,459,12,2021,2021/12
12/26/2021,22870,3715,7183,3562,6544,1862,12,2021,2021/12
12/27/2021,50938,9756,14931,8399,14148,3697,12,2021,2021/12
12/28/2021,49132,9738,13955,7896,14251,3282,12,2021,2021/12
12/29/2021,50128,10083,14198,7676,14617,3541,12,2021,2021/12
12/30/2021,47027,9291,13351,7434,13866,3074,12,2021,2021/12
12/31/2021,29001,5132,8706,4541,8932,1685,12,2021,2021/12
